domain,url,status_code,status_class,url_final,elapsed_ms,n_referenciada_por,erro,tipo
educacao.rs.gov.br,https://educacao.rs.gov.br/carta-de-servicos/servicos?servico=2259,200.0,ok_200,https://educacao.rs.gov.br/carta-de-servicos/servicos?servico=2259,973,1,,outros
jornadapedagogica.educacao.ba.gov.br,https://jornadapedagogica.educacao.ba.gov.br/eja,200.0,ok_200,https://jornadapedagogica.educacao.ba.gov.br/eja/,522,1,,outros
portal.educacao.pe.gov.br,https://portal.educacao.pe.gov.br/see-oferta-18-908-vagas-para-a-educacao-de-jovens-e-adultos,200.0,ok_200,https://portal.educacao.pe.gov.br/see-oferta-18-908-vagas-para-a-educacao-de-jovens-e-adultos/,1134,1,,outros
www.educacao.mg.gov.br,https://www.educacao.mg.gov.br/servicos/exames-de-ensino-fundamental-e-medio,200.0,ok_200,https://www.educacao.mg.gov.br/servicos/exames-de-ensino-fundamental-e-medio/,261,2,,outros
legislacao.prefeitura.sp.gov.br,https://legislacao.prefeitura.sp.gov.br/leis/decreto-43802-de-16-de-setembro-de-2003,200.0,ok_200,https://legislacao.prefeitura.sp.gov.br/leis/decreto-43802-de-16-de-setembro-de-2003,42,1,,lei
www.al.sp.gov.br,https://www.al.sp.gov.br/repositorio/legislacao/decreto/2011/decreto-57238-17.08.2011.html,200.0,ok_200,https://www.al.sp.gov.br/repositorio/legislacao/decreto/2011/decreto-57238-17.08.2011.html,156,1,,decreto
portal.educacao.pe.gov.br,https://portal.educacao.pe.gov.br/programa-trilhatec-abre-inscricoes-para-cursos-gratuitos-em-parceria-com-o-senac-em-todo-o-estado,200.0,ok_200,https://portal.educacao.pe.gov.br/programa-trilhatec-abre-inscricoes-para-cursos-gratuitos-em-parceria-com-o-senac-em-todo-o-estado/,1137,1,,pagina_programa
www.al.sp.gov.br,https://www.al.sp.gov.br/repositorio/legislacao/decreto/2023/decreto-67980-25.09.2023.html,200.0,ok_200,https://www.al.sp.gov.br/repositorio/legislacao/decreto/2023/decreto-67980-25.09.2023.html,162,1,,decreto
www.bahianoticias.com.br,https://www.bahianoticias.com.br/noticia/282876-programa-juventude-produtiva-oferece-vagas-para-capacitacao-no-senac-e-sinebahia,200.0,ok_200,https://www.bahianoticias.com.br/noticia/282876-programa-juventude-produtiva-oferece-vagas-para-capacitacao-no-senac-e-sinebahia,1123,1,,pagina_programa
www.al.sp.gov.br,https://www.al.sp.gov.br/repositorio/legislacao/decreto/2025/decreto-69680-08.07.2025.html?utm_source,200.0,ok_200,https://www.al.sp.gov.br/repositorio/legislacao/decreto/2025/decreto-69680-08.07.2025.html?utm_source,135,1,,decreto
www.desenvolvimentosocial.sp.gov.br,https://www.desenvolvimentosocial.sp.gov.br/sec_desenvolv_social/noticias/informacoes-sobre-o-programa-acao-jovem-430,200.0,ok_200,https://www.desenvolvimentosocial.sp.gov.br/sec_desenvolv_social/noticias/informacoes-sobre-o-programa-acao-jovem-430,142,1,,pagina_programa
