url,domain,n_referenciada_por,ids_referenciantes,campos_origem
https://www.gov.br/inep/pt-br/areas-de-atuacao/avaliacao-e-exames-educacionais/encceja,www.gov.br,11,FRM-CP-2026-EDU-0004;FRM-CP-2026-EDU-0022;FRM-CP-2026-EDU-0040;FRM-CP-2026-EDU-0060;FRM-CP-2026-EDU-0080;FRM-CP-2026-EDU-0093;FRM-CP-2026-EDU-0117;FRM-CP-2026-EDU-0135;FRM-CP-2026-EDU-0159;FRM-CP-2026-EDU-0172;FRM-CP-2026-EDU-0173,fonte_url
https://abmes.org.br/legislacoes/detalhe/2928,abmes.org.br,10,FRM-CP-2026-TRAB-0004;FRM-CP-2026-TRAB-0011;FRM-CP-2026-TRAB-0044;FRM-CP-2026-TRAB-0055;FRM-CP-2026-TRAB-0078;FRM-CP-2026-TRAB-0087;FRM-CP-2026-TRAB-0101;FRM-CP-2026-TRAB-0126;FRM-CP-2026-TRAB-0139;FRM-CP-2026-TRAB-0154,fonte_url
https://www.gov.br/mec/pt-br/juros-por-educacao,www.gov.br,10,FRM-CP-2026-EDU-0007;FRM-CP-2026-EDU-0026;FRM-CP-2026-EDU-0045;FRM-CP-2026-EDU-0063;FRM-CP-2026-EDU-0082;FRM-CP-2026-EDU-0097;FRM-CP-2026-EDU-0119;FRM-CP-2026-EDU-0126;FRM-CP-2026-EDU-0140;FRM-CP-2026-EDU-0162,fonte_url
https://www.gov.br/mec/pt-br/assuntos/eb/programa-de-apoio-ao-novo-ensino-medio-pronem,www.gov.br,10,FRM-CP-2026-EDU-0008;FRM-CP-2026-EDU-0018;FRM-CP-2026-EDU-0051;FRM-CP-2026-EDU-0065;FRM-CP-2026-EDU-0085;FRM-CP-2026-EDU-0101;FRM-CP-2026-EDU-0121;FRM-CP-2026-EDU-0164;FRM-CP-2026-EDU-0188;FRM-CP-2026-PSOC-0066,fonte_url
https://www.gov.br/mec/pt-br/ensino-medio-mais,www.gov.br,10,FRM-CP-2026-EDU-0009;FRM-CP-2026-EDU-0029;FRM-CP-2026-EDU-0046;FRM-CP-2026-EDU-0066;FRM-CP-2026-EDU-0084;FRM-CP-2026-EDU-0102;FRM-CP-2026-EDU-0122;FRM-CP-2026-EDU-0141;FRM-CP-2026-EDU-0165;FRM-CP-2026-EDU-0186,fonte_url
https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/L13874.htm,www.planalto.gov.br,10,FRM-CP-2026-TRAB-0009;FRM-CP-2026-TRAB-0024;FRM-CP-2026-TRAB-0041;FRM-CP-2026-TRAB-0060;FRM-CP-2026-TRAB-0071;FRM-CP-2026-TRAB-0084;FRM-CP-2026-TRAB-0115;FRM-CP-2026-TRAB-0127;FRM-CP-2026-TRAB-0142;FRM-CP-2026-TRAB-0149,fonte_url
https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/decreto/d12048.htm,www.planalto.gov.br,10,FRM-CP-2026-EDU-0014;FRM-CP-2026-EDU-0033;FRM-CP-2026-EDU-0048;FRM-CP-2026-EDU-0067;FRM-CP-2026-EDU-0086;FRM-CP-2026-EDU-0105;FRM-CP-2026-EDU-0125;FRM-CP-2026-EDU-0144;FRM-CP-2026-EDU-0168;FRM-CP-2026-EDU-0184,fonte_url
https://www.cnj.jus.br/programas-e-acoes/infancia-e-juventude/programa-novos-caminhos,www.cnj.jus.br,9,FRM-CP-2026-EDU-0052;FRM-CP-2026-EDU-0064;FRM-CP-2026-EDU-0078;FRM-CP-2026-EDU-0098;FRM-CP-2026-EDU-0120;FRM-CP-2026-EDU-0163;FRM-CP-2026-EDU-0170;FRM-CP-2026-PSOC-0001;FRM-CP-2026-PSOC-0013,fonte_url
https://www.gov.br/mec/pt-br/pacto-eja,www.gov.br,9,FRM-CP-2026-EDU-0003;FRM-CP-2026-EDU-0020;FRM-CP-2026-EDU-0039;FRM-CP-2026-EDU-0059;FRM-CP-2026-EDU-0079;FRM-CP-2026-EDU-0116;FRM-CP-2026-EDU-0138;FRM-CP-2026-EDU-0157;FRM-CP-2026-EDU-0178,fonte_url
https://www.gov.br/mec/pt-br/pnept?utm_source=,www.gov.br,9,FRM-CP-2026-EDU-0006;FRM-CP-2026-EDU-0025;FRM-CP-2026-EDU-0050;FRM-CP-2026-EDU-0062;FRM-CP-2026-EDU-0083;FRM-CP-2026-EDU-0099;FRM-CP-2026-EDU-0118;FRM-CP-2026-EDU-0139;FRM-CP-2026-EDU-0160,fonte_url
https://www.gov.br/sri/pt-br/backup-secretaria-de-governo/iniciativas/internacional/fsm/eixos/inclusao-social/brasil-sem-miseria,www.gov.br,9,FRM-CP-2026-PSOC-0007;FRM-CP-2026-PSOC-0016;FRM-CP-2026-PSOC-0026;FRM-CP-2026-PSOC-0038;FRM-CP-2026-PSOC-0045;FRM-CP-2026-PSOC-0055;FRM-CP-2026-PSOC-0063;FRM-CP-2026-PSOC-0072;FRM-CP-2026-PSOC-0077,fonte_url
https://www.gov.br/pt-br/servicos/solicitar-o-seguro-desemprego,www.gov.br,9,FRM-CP-2026-TRAB-0001;FRM-CP-2026-TRAB-0025;FRM-CP-2026-TRAB-0030;FRM-CP-2026-TRAB-0052;FRM-CP-2026-TRAB-0063;FRM-CP-2026-TRAB-0079;FRM-CP-2026-TRAB-0092;FRM-CP-2026-TRAB-0131;FRM-CP-2026-TRAB-0151,fonte_url
https://www.planalto.gov.br/ccivil_03/leis/2003/l10.748.htm,www.planalto.gov.br,9,FRM-CP-2026-TRAB-0002;FRM-CP-2026-TRAB-0026;FRM-CP-2026-TRAB-0032;FRM-CP-2026-TRAB-0053;FRM-CP-2026-TRAB-0073;FRM-CP-2026-TRAB-0085;FRM-CP-2026-TRAB-0124;FRM-CP-2026-TRAB-0137;FRM-CP-2026-TRAB-0152,fonte_url
https://fnp.org.br/noticias/item/531-governo-lanca-pronatec-aprendiz-para-as-micro-e-pequenas-empresas,fnp.org.br,8,FRM-CP-2026-TRAB-0007;FRM-CP-2026-TRAB-0028;FRM-CP-2026-TRAB-0036;FRM-CP-2026-TRAB-0058;FRM-CP-2026-TRAB-0076;FRM-CP-2026-TRAB-0121;FRM-CP-2026-TRAB-0141;FRM-CP-2026-TRAB-0156,fonte_url
https://jovemaprendiz.sp.gov.br/,jovemaprendiz.sp.gov.br,8,FRM-CP-2026-TRAB-0005;FRM-CP-2026-TRAB-0013;FRM-CP-2026-TRAB-0056;FRM-CP-2026-TRAB-0088;FRM-CP-2026-TRAB-0095;FRM-CP-2026-TRAB-0123;FRM-CP-2026-TRAB-0140;FRM-CP-2026-TRAB-0155,fonte_url
https://portal.mec.gov.br/docman/documentos-pdf/1634-port-971/file,portal.mec.gov.br,8,FRM-CP-2026-EDU-0011;FRM-CP-2026-EDU-0031;FRM-CP-2026-EDU-0068;FRM-CP-2026-EDU-0103;FRM-CP-2026-EDU-0123;FRM-CP-2026-EDU-0143;FRM-CP-2026-EDU-0166;FRM-CP-2026-EDU-0180,fonte_url
https://www.caixa.gov.br/programas-sociais/pe-de-meia/Paginas/default.aspx,www.caixa.gov.br,8,FRM-CP-2026-PSOC-0008;FRM-CP-2026-PSOC-0017;FRM-CP-2026-PSOC-0027;FRM-CP-2026-PSOC-0039;FRM-CP-2026-PSOC-0041;FRM-CP-2026-PSOC-0056;FRM-CP-2026-PSOC-0064;FRM-CP-2026-PSOC-0085,fonte_url
https://www.gov.br/cultura/pt-br/acesso-a-informacao/perguntas-frequentes/territorios-da-cultura/ceu-das-artes/o-que-e-o-ceu,www.gov.br,8,FRM-CP-2026-EDU-0134;FRM-CP-2026-PSOC-0004;FRM-CP-2026-PSOC-0022;FRM-CP-2026-PSOC-0030;FRM-CP-2026-PSOC-0035;FRM-CP-2026-PSOC-0046;FRM-CP-2026-PSOC-0080;FRM-CP-2026-PSOC-0089,fonte_url
https://www.gov.br/mds/pt-br/acoes-e-programas/bolsa-familia,www.gov.br,8,FRM-CP-2026-PSOC-0005;FRM-CP-2026-PSOC-0020;FRM-CP-2026-PSOC-0024;FRM-CP-2026-PSOC-0036;FRM-CP-2026-PSOC-0043;FRM-CP-2026-PSOC-0061;FRM-CP-2026-PSOC-0069;FRM-CP-2026-PSOC-0075,fonte_url
https://www.gov.br/mec/pt-br/areas-de-atuacao/educacao-profissional-e-tecnologica/pronatec,www.gov.br,8,FRM-CP-2026-TRAB-0006;FRM-CP-2026-TRAB-0014;FRM-CP-2026-TRAB-0035;FRM-CP-2026-TRAB-0057;FRM-CP-2026-TRAB-0064;FRM-CP-2026-TRAB-0096;FRM-CP-2026-TRAB-0120;FRM-CP-2026-TRAB-0150,fonte_url
https://www.gov.br/mj/pt-br/assuntos/noticias/entenda-o-papel-dos-ministerios-na-politica-nacional-de-migracoes-refugio-e-apatridia,www.gov.br,8,FRM-CP-2026-PSOC-0009;FRM-CP-2026-PSOC-0018;FRM-CP-2026-PSOC-0031;FRM-CP-2026-PSOC-0040;FRM-CP-2026-PSOC-0057;FRM-CP-2026-PSOC-0059;FRM-CP-2026-PSOC-0074;FRM-CP-2026-PSOC-0081,fonte_url
https://www.gov.br/mec/pt-br/assuntos/eb/programa-de-fomento-as-escolas-de-ensino-medio-em-tempo-integral-emti,www.gov.br,8,FRM-CP-2026-EDU-0013;FRM-CP-2026-EDU-0032;FRM-CP-2026-EDU-0070;FRM-CP-2026-EDU-0088;FRM-CP-2026-EDU-0089;FRM-CP-2026-EDU-0124;FRM-CP-2026-EDU-0145;FRM-CP-2026-EDU-0167,fonte_url
https://portal.mec.gov.br/escola-de-gestores-da-educacao-basica/259-programas-e-acoes-1921564125/proeja-406236091,portal.mec.gov.br,7,FRM-CP-2026-EDU-0005;FRM-CP-2026-EDU-0024;FRM-CP-2026-EDU-0036;FRM-CP-2026-EDU-0061;FRM-CP-2026-EDU-0077;FRM-CP-2026-EDU-0100;FRM-CP-2026-EDU-0185,fonte_url
https://www.ba.gov.br/trabalho/296/programa-juventude-produtiva,www.ba.gov.br,7,FRM-CP-2026-TRAB-0100;FRM-CP-2026-TRAB-0105;FRM-CP-2026-TRAB-0106;FRM-CP-2026-TRAB-0110;FRM-CP-2026-TRAB-0111;FRM-CP-2026-TRAB-0113;FRM-CP-2026-TRAB-0114,fonte_url
https://www.gov.br/mds/pt-br/auxilio-brasil/beneficios,www.gov.br,7,FRM-CP-2026-PSOC-0006;FRM-CP-2026-PSOC-0021;FRM-CP-2026-PSOC-0025;FRM-CP-2026-PSOC-0037;FRM-CP-2026-PSOC-0044;FRM-CP-2026-PSOC-0062;FRM-CP-2026-PSOC-0076,fonte_url
https://www.gov.br/trabalho-e-emprego/pt-br/noticias-e-conteudo/2024/janeiro/rede-sine-entenda-o-que-e-e-como-funciona,www.gov.br,7,FRM-CP-2026-TRAB-0008;FRM-CP-2026-TRAB-0016;FRM-CP-2026-TRAB-0059;FRM-CP-2026-TRAB-0065;FRM-CP-2026-TRAB-0128;FRM-CP-2026-TRAB-0132;FRM-CP-2026-TRAB-0148,fonte_url
https://www.gov.br/secom/pt-br/acompanhe-a-secom/noticias/2025/06/novo-edital-do-estacao-juventude-vai-destinar-r-10-milhoes-para-ceus-das-artes-e-centros-de-referencia-de-todo-o-pais,www.gov.br,7,FRM-CP-2026-PSOC-0019;FRM-CP-2026-PSOC-0034;FRM-CP-2026-PSOC-0047;FRM-CP-2026-PSOC-0052;FRM-CP-2026-PSOC-0058;FRM-CP-2026-PSOC-0068;FRM-CP-2026-PSOC-0079,fonte_url
https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11692.htm,www.planalto.gov.br,7,FRM-CP-2026-PSOC-0002;FRM-CP-2026-PSOC-0014;FRM-CP-2026-PSOC-0028;FRM-CP-2026-PSOC-0033;FRM-CP-2026-PSOC-0051;FRM-CP-2026-PSOC-0065;FRM-CP-2026-PSOC-0067,fonte_url
https://buscaativaescolar.org.br/,buscaativaescolar.org.br,6,FRM-CP-2026-EDU-0010;FRM-CP-2026-EDU-0034;FRM-CP-2026-EDU-0042;FRM-CP-2026-EDU-0087;FRM-CP-2026-EDU-0104;FRM-CP-2026-EDU-0179,fonte_url
https://alfabetizacao.mec.gov.br/pba,alfabetizacao.mec.gov.br,5,FRM-CP-2026-EDU-0002;FRM-CP-2026-EDU-0019;FRM-CP-2026-EDU-0038;FRM-CP-2026-EDU-0058;FRM-CP-2026-EDU-0156,fonte_url
https://www.educacao.sp.gov.br/educacao-jovens-adultos,www.educacao.sp.gov.br,5,FRM-CP-2026-EDU-0001;FRM-CP-2026-EDU-0015;FRM-CP-2026-EDU-0016;FRM-CP-2026-EDU-0017;FRM-CP-2026-EDU-0057,fonte_url
https://portal.educacao.pe.gov.br/wp-content/uploads/2025/11/RELATORIO-ANUAL-DE-INDICADORES-2024.pdf,portal.educacao.pe.gov.br,4,FRM-CP-2026-EDU-0152;FRM-CP-2026-EDU-0153;FRM-CP-2026-EDU-0154;FRM-CP-2026-EDU-0155,fonte_url
https://repositorio.ufjf.br/jspui/handle/ufjf/5317?locale=es,repositorio.ufjf.br,3,FRM-CP-2026-EDU-0012;FRM-CP-2026-EDU-0069;FRM-CP-2026-EDU-0181,fonte_url
https://www.gov.br/secretariageral/pt-br/juventude/estacaojuventude,www.gov.br,3,FRM-CP-2026-PSOC-0003;FRM-CP-2026-PSOC-0029;FRM-CP-2026-PSOC-0083,fonte_url
https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/sistema-nacional-de-emprego-sine/casa-do-trabalhador,www.gov.br,3,FRM-CP-2026-TRAB-0038;FRM-CP-2026-TRAB-0090;FRM-CP-2026-TRAB-0130,fonte_url
https://www.gov.br/mec/pt-br/brasil-alfabetizado,www.gov.br,3,FRM-CP-2026-EDU-0076;FRM-CP-2026-EDU-0109;FRM-CP-2026-EDU-0177,fonte_url
https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14457.htm,www.planalto.gov.br,3,FRM-CP-2026-TRAB-0091;FRM-CP-2026-TRAB-0116;FRM-CP-2026-TRAB-0143,fonte_url
https://plataforma.buscaativaescolar.org.br/,plataforma.buscaativaescolar.org.br,2,FRM-CP-2026-EDU-0056;FRM-CP-2026-EDU-0114,fonte_url
https://portal.mec.gov.br/dmdocuments/ensino_inovador.pdf,portal.mec.gov.br,2,FRM-CP-2026-EDU-0041;FRM-CP-2026-EDU-0081,fonte_url
https://social.mg.gov.br/trabalho-e-emprego/educacao-profissional/minas-forma,social.mg.gov.br,2,FRM-CP-2026-TRAB-0047;FRM-CP-2026-TRAB-0062,fonte_url
