url,domain,status_code,status_class,url_final,elapsed_ms,n_referenciada_por,erro
https://alfabetizacao.mec.gov.br/pba,alfabetizacao.mec.gov.br,403.0,forbidden_403,https://alfabetizacao.mec.gov.br/pba,189,5,
https://www.gov.br/mec/pt-br/pacto-eja,www.gov.br,,erro_rede,,42,9,ReadError: [WinError 10054] Foi forçado o cancelamento de uma conexão existente pelo host remoto
https://www.gov.br/inep/pt-br/areas-de-atuacao/avaliacao-e-exames-educacionais/encceja,www.gov.br,200.0,ok_200,https://www.gov.br/inep/pt-br/areas-de-atuacao/avaliacao-e-exames-educacionais/encceja,297,11,
https://portal.mec.gov.br/escola-de-gestores-da-educacao-basica/259-programas-e-acoes-1921564125/proeja-406236091,portal.mec.gov.br,403.0,forbidden_403,https://portal.mec.gov.br/escola-de-gestores-da-educacao-basica/259-programas-e-acoes-1921564125/proeja-406236091,690,7,
https://www.gov.br/mec/pt-br/pnept?utm_source=,www.gov.br,,erro_rede,,47,9,ReadError: [WinError 10054] Foi forçado o cancelamento de uma conexão existente pelo host remoto
https://www.gov.br/mec/pt-br/juros-por-educacao,www.gov.br,,erro_rede,,136,10,ReadError: [WinError 10054] Foi forçado o cancelamento de uma conexão existente pelo host remoto
https://www.gov.br/mec/pt-br/assuntos/eb/programa-de-apoio-ao-novo-ensino-medio-pronem,www.gov.br,,erro_rede,,183,10,ReadError: [WinError 10054] Foi forçado o cancelamento de uma conexão existente pelo host remoto
https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11692.htm,www.planalto.gov.br,,timeout,,30149,7,TimeoutException
https://www.gov.br/secretariageral/pt-br/juventude/estacaojuventude,www.gov.br,200.0,ok_200,https://www.gov.br/secretariageral/pt-br/juventude/estacaojuventude,292,3,
https://www.gov.br/cultura/pt-br/acesso-a-informacao/perguntas-frequentes/territorios-da-cultura/ceu-das-artes/o-que-e-o-ceu,www.gov.br,200.0,ok_200,https://www.gov.br/cultura/pt-br/acesso-a-informacao/perguntas-frequentes/territorios-da-cultura/ceu-das-artes/o-que-e-o-ceu,781,8,
https://www.gov.br/mds/pt-br/acoes-e-programas/bolsa-familia,www.gov.br,200.0,ok_200,https://www.gov.br/mds/pt-br/acoes-e-programas/bolsa-familia,96,8,
https://www.gov.br/mds/pt-br/auxilio-brasil/beneficios,www.gov.br,200.0,ok_200,https://www.gov.br/mds/pt-br/auxilio-brasil/beneficios,105,7,
https://www.gov.br/sri/pt-br/backup-secretaria-de-governo/iniciativas/internacional/fsm/eixos/inclusao-social/brasil-sem-miseria,www.gov.br,200.0,ok_200,https://www.gov.br/sri/pt-br/backup-secretaria-de-governo/iniciativas/internacional/fsm/eixos/inclusao-social/brasil-sem-miseria,965,9,
https://www.gov.br/pt-br/servicos/solicitar-o-seguro-desemprego,www.gov.br,200.0,ok_200,https://www.gov.br/pt-br/servicos/solicitar-o-seguro-desemprego,89,9,
https://www.planalto.gov.br/ccivil_03/leis/2003/l10.748.htm,www.planalto.gov.br,,timeout,,30172,9,TimeoutException
https://cnm.org.br/comunicacao/noticias/cons%C3%B3rcio-da-juventude-%C3%A9-implantado-em-30-munic%C3%ADpios-mineiros,cnm.org.br,403.0,forbidden_403,https://cnm.org.br/comunicacao/noticias/cons%C3%B3rcio-da-juventude-%C3%A9-implantado-em-30-munic%C3%ADpios-mineiros,125,1,
