url,domain,status_code,status_class,url_final,elapsed_ms,n_referenciada_por,erro
https://www.educacao.sp.gov.br/educacao-jovens-adultos,www.educacao.sp.gov.br,200.0,ok_200,https://www.educacao.sp.gov.br/educacao,206,5,
https://alfabetizacao.mec.gov.br/pba,alfabetizacao.mec.gov.br,403.0,forbidden_403,https://alfabetizacao.mec.gov.br/pba,92,5,
https://www.gov.br/mec/pt-br/pacto-eja,www.gov.br,,erro_rede,,56,9,ReadError: [WinError 10054] Foi forçado o cancelamento de uma conexão existente pelo host remoto
https://www.gov.br/inep/pt-br/areas-de-atuacao/avaliacao-e-exames-educacionais/encceja,www.gov.br,403.0,forbidden_403,https://www.gov.br/inep/pt-br/areas-de-atuacao/avaliacao-e-exames-educacionais/encceja,172,11,
https://portal.mec.gov.br/escola-de-gestores-da-educacao-basica/259-programas-e-acoes-1921564125/proeja-406236091,portal.mec.gov.br,403.0,forbidden_403,https://portal.mec.gov.br/escola-de-gestores-da-educacao-basica/259-programas-e-acoes-1921564125/proeja-406236091,110,7,
https://www.gov.br/mec/pt-br/pnept?utm_source=,www.gov.br,,erro_rede,,48,9,ReadError: [WinError 10054] Foi forçado o cancelamento de uma conexão existente pelo host remoto
https://www.gov.br/mec/pt-br/juros-por-educacao,www.gov.br,,erro_rede,,160,10,ReadError: [WinError 10054] Foi forçado o cancelamento de uma conexão existente pelo host remoto
https://www.cnj.jus.br/programas-e-acoes/infancia-e-juventude/programa-novos-caminhos,www.cnj.jus.br,200.0,ok_200,https://www.cnj.jus.br/programas-e-acoes/infancia-e-juventude/programa-novos-caminhos/,556,9,
https://www.gov.br/mec/pt-br/assuntos/eb/programa-de-apoio-ao-novo-ensino-medio-pronem,www.gov.br,,erro_rede,,3402,10,ReadError: [WinError 10054] Foi forçado o cancelamento de uma conexão existente pelo host remoto
https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11692.htm,www.planalto.gov.br,,timeout,,30210,7,TimeoutException
https://www.gov.br/secretariageral/pt-br/juventude/estacaojuventude,www.gov.br,403.0,forbidden_403,https://www.gov.br/secretariageral/pt-br/juventude/estacaojuventude,156,3,
https://www.gov.br/cultura/pt-br/acesso-a-informacao/perguntas-frequentes/territorios-da-cultura/ceu-das-artes/o-que-e-o-ceu,www.gov.br,403.0,forbidden_403,https://www.gov.br/cultura/pt-br/acesso-a-informacao/perguntas-frequentes/territorios-da-cultura/ceu-das-artes/o-que-e-o-ceu,46,8,
https://www.gov.br/mds/pt-br/acoes-e-programas/bolsa-familia,www.gov.br,403.0,forbidden_403,https://www.gov.br/mds/pt-br/acoes-e-programas/bolsa-familia,102,8,
https://www.gov.br/mds/pt-br/auxilio-brasil/beneficios,www.gov.br,403.0,forbidden_403,https://www.gov.br/mds/pt-br/auxilio-brasil/beneficios,54,7,
https://www.gov.br/sri/pt-br/backup-secretaria-de-governo/iniciativas/internacional/fsm/eixos/inclusao-social/brasil-sem-miseria,www.gov.br,403.0,forbidden_403,https://www.gov.br/sri/pt-br/backup-secretaria-de-governo/iniciativas/internacional/fsm/eixos/inclusao-social/brasil-sem-miseria,42,9,
https://www.caixa.gov.br/programas-sociais/pe-de-meia/Paginas/default.aspx,www.caixa.gov.br,200.0,ok_200,https://www.caixa.gov.br/programas-sociais/pe-de-meia/Paginas/default.aspx,56,8,
https://www.gov.br/pt-br/servicos/solicitar-o-seguro-desemprego,www.gov.br,403.0,forbidden_403,https://www.gov.br/pt-br/servicos/solicitar-o-seguro-desemprego,41,9,
https://www.planalto.gov.br/ccivil_03/leis/2003/l10.748.htm,www.planalto.gov.br,,timeout,,30209,9,TimeoutException
https://cnm.org.br/comunicacao/noticias/cons%C3%B3rcio-da-juventude-%C3%A9-implantado-em-30-munic%C3%ADpios-mineiros,cnm.org.br,403.0,forbidden_403,https://cnm.org.br/comunicacao/noticias/cons%C3%B3rcio-da-juventude-%C3%A9-implantado-em-30-munic%C3%ADpios-mineiros,31,1,
https://abmes.org.br/legislacoes/detalhe/2928,abmes.org.br,200.0,ok_200,https://abmes.org.br/legislacoes/detalhe/2928,599,10,
https://jovemaprendiz.sp.gov.br/,jovemaprendiz.sp.gov.br,200.0,ok_200,https://jovemaprendiz.sp.gov.br/,93,8,
https://www.gov.br/mec/pt-br/areas-de-atuacao/educacao-profissional-e-tecnologica/pronatec,www.gov.br,,erro_rede,,142,8,ReadError: [WinError 10054] Foi forçado o cancelamento de uma conexão existente pelo host remoto
https://fnp.org.br/noticias/item/531-governo-lanca-pronatec-aprendiz-para-as-micro-e-pequenas-empresas,fnp.org.br,200.0,ok_200,https://fnp.org.br/noticias/item/531-governo-lanca-pronatec-aprendiz-para-as-micro-e-pequenas-empresas,286,8,
https://www.gov.br/trabalho-e-emprego/pt-br/noticias-e-conteudo/2024/janeiro/rede-sine-entenda-o-que-e-e-como-funciona,www.gov.br,403.0,forbidden_403,https://www.gov.br/trabalho-e-emprego/pt-br/noticias-e-conteudo/2024/janeiro/rede-sine-entenda-o-que-e-e-como-funciona,187,7,
https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/L13874.htm,www.planalto.gov.br,,timeout,,30155,10,TimeoutException
https://www.gov.br/mec/pt-br/ensino-medio-mais,www.gov.br,,erro_rede,,153,10,ReadError: [WinError 10054] Foi forçado o cancelamento de uma conexão existente pelo host remoto
https://buscaativaescolar.org.br/,buscaativaescolar.org.br,200.0,ok_200,https://buscaativaescolar.org.br/,161,6,
https://www.gov.br/mj/pt-br/assuntos/noticias/entenda-o-papel-dos-ministerios-na-politica-nacional-de-migracoes-refugio-e-apatridia,www.gov.br,403.0,forbidden_403,https://www.gov.br/mj/pt-br/assuntos/noticias/entenda-o-papel-dos-ministerios-na-politica-nacional-de-migracoes-refugio-e-apatridia,195,8,
https://portal.mec.gov.br/docman/documentos-pdf/1634-port-971/file,portal.mec.gov.br,403.0,forbidden_403,https://portal.mec.gov.br/docman/documentos-pdf/1634-port-971/file,83,8,
https://repositorio.ufjf.br/jspui/handle/ufjf/5317?locale=es,repositorio.ufjf.br,,erro_rede,,104,3,ConnectError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)
https://www.gov.br/mec/pt-br/assuntos/eb/programa-de-fomento-as-escolas-de-ensino-medio-em-tempo-integral-emti,www.gov.br,,erro_rede,,39,8,ReadError: [WinError 10054] Foi forçado o cancelamento de uma conexão existente pelo host remoto
https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/decreto/d12048.htm,www.planalto.gov.br,,timeout,,30168,10,TimeoutException
https://atendimento.educacao.sp.gov.br/knowledgebase/article/SED-08102/pt-br,atendimento.educacao.sp.gov.br,404.0,not_found_404,https://atendimento.educacao.sp.gov.br/knowledgebase/article/SED-08102/pt-br,627,1,
https://www.al.sp.gov.br/repositorio/legislacao/decreto/2011/decreto-57238-17.08.2011.html,www.al.sp.gov.br,200.0,ok_200,https://www.al.sp.gov.br/repositorio/legislacao/decreto/2011/decreto-57238-17.08.2011.html,156,1,
https://www.gov.br/senappen/pt-br/acesso-a-informacao/acoes-e-programas/politicas-nacionais-penais/-educacao-prisional/2020-2024/sp.pdf,www.gov.br,403.0,forbidden_403,https://www.gov.br/senappen/pt-br/acesso-a-informacao/acoes-e-programas/politicas-nacionais-penais/-educacao-prisional/2020-2024/sp.pdf,152,1,
https://legislacao.prefeitura.sp.gov.br/leis/decreto-43802-de-16-de-setembro-de-2003,legislacao.prefeitura.sp.gov.br,200.0,ok_200,https://legislacao.prefeitura.sp.gov.br/leis/decreto-43802-de-16-de-setembro-de-2003,42,1,
https://prefeitura.sp.gov.br/web/imigrantes_e_trabalho_decente/w/programas_e_projetos/portas_abertas/259304,prefeitura.sp.gov.br,200.0,ok_200,https://prefeitura.sp.gov.br/web/imigrantes_e_trabalho_decente/w/programas_e_projetos/portas_abertas/259304,399,1,
https://teses.usp.br/teses/disponiveis/48/48134/tde-09102007-093437/publico/DissertacaoAlineAbbonizio.pdf,teses.usp.br,200.0,ok_200,https://teses.usp.br/teses/disponiveis/48/48134/tde-09102007-093437/publico/DissertacaoAlineAbbonizio.pdf,55,1,
https://www.desenvolvimentosocial.sp.gov.br/sec_desenvolv_social/noticias/informacoes-sobre-o-programa-acao-jovem-430,www.desenvolvimentosocial.sp.gov.br,200.0,ok_200,https://www.desenvolvimentosocial.sp.gov.br/sec_desenvolv_social/noticias/informacoes-sobre-o-programa-acao-jovem-430,142,1,
https://prefeitura.sp.gov.br/web/lgbti/w/menu/150965,prefeitura.sp.gov.br,200.0,ok_200,https://prefeitura.sp.gov.br/web/lgbti/w/menu/150965,368,1,
https://jau.sp.gov.br/noticia/10538/plano-mobilidade-jahu,jau.sp.gov.br,200.0,ok_200,https://jau.sp.gov.br/noticia/10538/plano-mobilidade-jahu,94,1,
https://prefeitura.sp.gov.br/web/comunicacao/w/noticias/122295,prefeitura.sp.gov.br,200.0,ok_200,https://prefeitura.sp.gov.br/web/comunicacao/w/noticias/122295,165,1,
https://www.gov.br/secom/pt-br/acompanhe-a-secom/noticias/2025/06/novo-edital-do-estacao-juventude-vai-destinar-r-10-milhoes-para-ceus-das-artes-e-centros-de-referencia-de-todo-o-pais,www.gov.br,403.0,forbidden_403,https://www.gov.br/secom/pt-br/acompanhe-a-secom/noticias/2025/06/novo-edital-do-estacao-juventude-vai-destinar-r-10-milhoes-para-ceus-das-artes-e-centros-de-referencia-de-todo-o-pais,180,7,
https://prefeitura.sp.gov.br/web/assistencia_social/w/rede_socioassistencial/criancas_e_adolescentes/331325,prefeitura.sp.gov.br,200.0,ok_200,https://prefeitura.sp.gov.br/web/assistencia_social/w/rede_socioassistencial/criancas_e_adolescentes/331325,190,1,
https://www.trampolim.sp.gov.br/,www.trampolim.sp.gov.br,200.0,ok_200,https://www.trampolim.sp.gov.br/pt/,865,1,
https://www.desenvolvimentoeconomico.sp.gov.br/DesenvolvimentoEconomico/institucional/Programas/pat_programa,www.desenvolvimentoeconomico.sp.gov.br,200.0,ok_200,https://www.desenvolvimentoeconomico.sp.gov.br/DesenvolvimentoEconomico/institucional/Programas/pat_programa,152,1,
https://univesp.br/cursos/qualificacao-profissional,univesp.br,404.0,not_found_404,https://univesp.br/cursos/qualificacao-profissional,374,1,
https://servicos.sp.gov.br/fcarta/AA22C3A3-0BC3-439B-B369-6D84D5A83922,servicos.sp.gov.br,200.0,ok_200,https://servicos.sp.gov.br/fcarta/AA22C3A3-0BC3-439B-B369-6D84D5A83922,196,1,
https://www.al.sp.gov.br/repositorio/legislacao/decreto/2025/decreto-69680-08.07.2025.html,www.al.sp.gov.br,200.0,ok_200,https://www.al.sp.gov.br/repositorio/legislacao/decreto/2025/decreto-69680-08.07.2025.html,153,1,
https://www.al.sp.gov.br/repositorio/legislacao/decreto/2025/decreto-69680-08.07.2025.html?utm_source,www.al.sp.gov.br,200.0,ok_200,https://www.al.sp.gov.br/repositorio/legislacao/decreto/2025/decreto-69680-08.07.2025.html?utm_source,135,1,
https://www.desenvolvimentoeconomico.sp.gov.br/DesenvolvimentoEconomico/institucional/Programas/pacto_pela_inclusao,www.desenvolvimentoeconomico.sp.gov.br,200.0,ok_200,https://www.desenvolvimentoeconomico.sp.gov.br/DesenvolvimentoEconomico/institucional/Programas/pacto_pela_inclusao,252,1,
https://www.al.sp.gov.br/repositorio/legislacao/decreto/2023/decreto-67980-25.09.2023.html,www.al.sp.gov.br,200.0,ok_200,https://www.al.sp.gov.br/repositorio/legislacao/decreto/2023/decreto-67980-25.09.2023.html,162,1,
https://www.justica.sp.gov.br/sec_justica/imprensa/noticias/spjovemgovernodespeunesplancamprogramaparaincentivarempreendedorismoeprotagonismojuvenil,www.justica.sp.gov.br,200.0,ok_200,https://www.justica.sp.gov.br/sec_justica/imprensa/noticias/spjovemgovernodespeunesplancamprogramaparaincentivarempreendedorismoeprotagonismojuvenil,96,1,
https://www.seeduc.rj.gov.br/cidad%C3%A3o/matr%C3%ADcula,www.seeduc.rj.gov.br,200.0,ok_200,https://www.seeduc.rj.gov.br/cidad%C3%A3o/matr%C3%ADcula,200,1,
https://www.frm.org.br/institucional/a-fundacao/como-chegamos-ate-aqui/2009,www.frm.org.br,200.0,ok_200,https://www.frm.org.br/a-fundacao/como-chegamos-ate-aqui/2009,1156,1,
https://api.arca.fiocruz.br/api/core/bitstreams/823bdc3b-7030-4a1f-a517-19925d631826/content,api.arca.fiocruz.br,200.0,ok_200,https://api.arca.fiocruz.br/api/core/bitstreams/823bdc3b-7030-4a1f-a517-19925d631826/content,63,1,
https://portal.mec.gov.br/dmdocuments/ensino_inovador.pdf,portal.mec.gov.br,403.0,forbidden_403,https://portal.mec.gov.br/dmdocuments/ensino_inovador.pdf,78,2,
https://doweb.rio.rj.gov.br/apifront/portal/edicoes/imprimir_materia/837253/5353,doweb.rio.rj.gov.br,200.0,ok_200,https://doweb.rio.rj.gov.br/apifront/portal/edicoes/imprimir_materia/837253/5353,717,1,
https://www.folha1.com.br/geral/2023/08/1292858-mprj-assina-pacto-estadual-para-combater-a-evasao-escolar-na-rede-publica.html,www.folha1.com.br,200.0,ok_200,https://www.folha1.com.br/geral/2023/08/1292858-mprj-assina-pacto-estadual-para-combater-a-evasao-escolar-na-rede-publica.html,1681,1,
https://leisestaduais.com.br/rj/decreto-n-31548-2002-rio-de-janeiro-dispoe-sobre-o-programa-de-primeiro-emprego-no-ambito-do-estado-do-rio-de-janeiro-implementado-pela-secretaria-de-estado-de-trabalho-e-da-outras-providencias?__cf_chl_tk=awLzvES0A2WCa2c05U3g3jhBc8e71mLxszMjL49FNdk-1771882529-1.0.1.1-_qJdTMoEDWDmSvAC2zf9C5WGfuD8x7qilbE7BEWNr6Y,leisestaduais.com.br,403.0,forbidden_403,https://leisestaduais.com.br/rj/decreto-n-31548-2002-rio-de-janeiro-dispoe-sobre-o-programa-de-primeiro-emprego-no-ambito-do-estado-do-rio-de-janeiro-implementado-pela-secretaria-de-estado-de-trabalho-e-da-outras-providencias?__cf_chl_tk=awLzvES0A2WCa2c05U3g3jhBc8e71mLxszMjL49FNdk-1771882529-1.0.1.1-_qJdTMoEDWDmSvAC2zf9C5WGfuD8x7qilbE7BEWNr6Y,96,1,
https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/aprendizagem-profissional?utm_source=chatgpt.com,www.gov.br,403.0,forbidden_403,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/aprendizagem-profissional?utm_source=chatgpt.com,158,2,
https://arquivo.proderj.rj.gov.br/emop_imagens/site/bs_visualiza.asp?id=736,arquivo.proderj.rj.gov.br,200.0,ok_200,https://arquivo.proderj.rj.gov.br/emop_imagens/site/bs_visualiza.asp?id=736,60,1,
https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/sistema-nacional-de-emprego-sine/casa-do-trabalhador,www.gov.br,403.0,forbidden_403,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/sistema-nacional-de-emprego-sine/casa-do-trabalhador,47,3,
https://www.gov.br/trabalho-e-emprego/pt-br/servicos/mte/sine,www.gov.br,403.0,forbidden_403,https://www.gov.br/trabalho-e-emprego/pt-br/servicos/mte/sine,47,1,
https://legislacao.fazenda.rj.gov.br/letra-r/rio-simples,legislacao.fazenda.rj.gov.br,200.0,ok_200,https://legislacao.fazenda.rj.gov.br/letra-r/rio-simples/,386,1,
https://www.rj.gov.br/trabalho/acoes_e_programas?utm_source=chatgpt.com,www.rj.gov.br,200.0,ok_200,https://www.rj.gov.br/trabalho/acoes_e_programas?utm_source=chatgpt.com,421,1,
https://www.faetec.rj.gov.br/historia,www.faetec.rj.gov.br,200.0,ok_200,https://www.faetec.rj.gov.br/historia/,135,1,
https://www.gov.br/senappen/pt-br/acesso-a-informacao/politicas-acoes-e-programas/politicas-penais/educacao,www.gov.br,403.0,forbidden_403,https://www.gov.br/senappen/pt-br/acesso-a-informacao/politicas-acoes-e-programas/politicas-penais/educacao,49,1,
https://www.mg.gov.br/servico/concluir-o-ensino-medio-por-meio-de-cursos-oferecidos-pelos-cesec,www.mg.gov.br,200.0,ok_200,https://www.mg.gov.br/servico/concluir-o-ensino-medio-por-meio-de-cursos-oferecidos-pelos-cesec,56,1,
https://www.educacao.mg.gov.br/servicos/exames-de-ensino-fundamental-e-medio,www.educacao.mg.gov.br,200.0,ok_200,https://www.educacao.mg.gov.br/servicos/exames-de-ensino-fundamental-e-medio/,261,2,
https://plataforma.buscaativaescolar.org.br/,plataforma.buscaativaescolar.org.br,200.0,ok_200,https://plataforma.buscaativaescolar.org.br/,144,2,
https://agenciaminas.mg.gov.br/noticia/educacao-lanca-oficialmente-campanha-de-busca-ativa-escolar-2025-para-reintegrar-estudantes-infrequentes,agenciaminas.mg.gov.br,200.0,ok_200,https://agenciaminas.mg.gov.br/noticia/educacao-lanca-oficialmente-campanha-de-busca-ativa-escolar-2025-para-reintegrar-estudantes-infrequentes,234,1,
https://www.trilhasdefuturo.mg.gov.br/perguntas-frequentes/index.html,www.trilhasdefuturo.mg.gov.br,,erro_rede,,73,1,ConnectError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)
