campo,valor_original,valor_normalizado_cosmetico,uf,nome,linha
tipo_politica,Proteção social com impacto educacional e laboral,Proteção social com impacto educacional e laboral,ES,Estado Presente – eixo de inclusão social de jovens,516
tipo_politica,Educacional indireta / infraestrutura,Educacional indireta / infraestrutura,MA,Programa Escola Digna,590
esfera_formulacao,"interfederativa/interinstitucional: União-Estado-Município+Sistema S+entidades formadoras+empresasis, além do Sistema S, sistema de justiça, entidades formadoras e empresas","interfederativa/interinstitucional: União-Estado-Município+Sistema S+entidades formadoras+empresasis, além do Sistema S, sistema de justiça, entidades formadoras e empresas",MG,Programa de Incentivo à Aprendizagem de Minas Gerais – Descubra,153
esfera_formulacao,Interfederativa: União - Estado,Interfederativa: União - Estado,PB,Sistema Nacional de Emprego (SINE) - PB,749
origem_proposta,Incentivo financeiro-educacional federal para apoiar permanência e conclusão do ensino médio.,Incentivo financeiro-educacional federal para apoiar permanência e conclusão do ensino médio.,PE,Pé-de-Meia,375
esfera_execucao,Estado + rede de execução + instituições de ensino públicas/privadas,Estado + rede de execução + instituições de ensino públicas/privadas,RJ,Programa Geração Futuro (RJ),109
esfera_execucao,Compartilhada interfederativamente: Estado + União,Compartilhada interfederativamente: Estado + União,RS,Pronatec Aprendiz na Micro e Pequena Empresa,246
esfera_execucao,Estado + rede de execução + instituições de ensino públicas/privadas,Estado + rede de execução + instituições de ensino públicas/privadas,SC,Plano Estadual de Educação em Prisões (2025-2028),537
esfera_execucao,Compartilhada Interfederativa: União–Município,Compartilhada Interfederativa: União-Município,SC,Programa Brasil Alfabetizado,540
esfera_execucao,Compartilhada Interfederativa: União–Município,Compartilhada Interfederativa: União-Município,PB,Centros de Artes e Esportes Unificados (CEUs das Artes),742
esfera_execucao,Compartilha da Interfederativa: União - Município,Compartilha da Interfederativa: União - Município,PB,Consórcio Social da Juventude,752
esfera_execucao,Compartilhada Interfederativa: União–Município,Compartilhada Interfederativa: União-Município,AL,Centros de Artes e Esportes Unificados (CEUs das Artes),788
esfera_execucao,Compartilha da Interfederativa: União - Município,Compartilha da Interfederativa: União - Município,AL,Consórcio Social da Juventude,794
situacao_atual,Descontinuada / sem oferta recente identificada,Descontinuada / sem oferta recente identificada,GO,Bolsa Futuro,471
tipo_oferta,Presencial,Presencial,PE,Exame Supletivo Anual – Pernambuco,354
tipo_oferta,Infraestrutura educacional (construção/reforma/ampliação de unidades/polos),Infraestrutura educacional (construção/reforma/ampliação de unidades/polos),MA,Programa Escola Digna,590
tipo_oferta,. ,.,RN,Plano Estadual de Educação em Ambientes Prisionais RN (2015-2024),817
modalidade_oferta,Unidade fixa / oferta fixa,Unidade fixa / oferta fixa,PE,Exame Supletivo Anual – Pernambuco,354
arranjo_logistico,Misto (fixa + polos/ofertas semipresenciais),Misto (fixa + polos/ofertas semipresenciais),GO,Educação de Jovens e Adultos (EJA) – Goiás,439
arranjo_logistico,Misto (polos fixos + ambiente virtual),Misto (polos fixos + ambiente virtual),GO,EJATec,440
arranjo_logistico,Misto (unidade fixa + mediação tecnológica),Misto (unidade fixa + mediação tecnológica),GO,Goiás Tec – Ensino Médio ao Alcance de Todos,442
arranjo_logistico,Unidade fixa/oferta fixa,Unidade fixa/oferta fixa,GO,Busca Ativa: Acolher para Permanecer,443
arranjo_logistico,Misto (fixa + polos/ofertas descentralizadas),Misto (fixa + polos/ofertas descentralizadas),GO,Bolsa Futuro,471
arranjo_logistico,"Misto (unidades fixas + ofertas presenciais e a distância, conforme curso)","Misto (unidades fixas + ofertas presenciais e a distância, conforme curso)",GO,Escolas do Futuro do Estado de Goiás (EFG),472
arranjo_logistico,"Misto (unidades fixas + ofertas descentralizadas/polos, conforme curso)","Misto (unidades fixas + ofertas descentralizadas/polos, conforme curso)",GO,Colégios Tecnológicos do Estado de Goiás (COTEC),473
